steps,reward_avg,reward_min,reward_max,turn_limit_sum,turn_limit_avg_per_step,turn_limit_max,other_exceed_sum,empty_sum,response_clip_avg,response_length_mean_avg,num_turns_mean_avg,step_time_avg_s,gen_time_avg_s,throughput_avg
1-10,0.451171875,0.392578125,0.51171875,18,1.8,5,0,18,0.000390625,1419.5310546875,5.87890625,356.2008261933923,225.737373882439,597.7827216913569
11-20,0.449609375,0.41015625,0.494140625,19,1.9,5,0,19,0.009375,1955.6576171875,5.77890625,418.1080021823756,278.8591186621226,591.9013839596357
21-30,0.4671875,0.412109375,0.53125,17,1.7,5,1,17,0.019921875,2091.2798828125,5.72421875,430.89591690246016,291.44310141801833,583.443012553568
31-40,0.446484375,0.404296875,0.466796875,26,2.6,5,1,26,0.0125,1985.6625,5.999609375,426.264968210645,285.5478449827991,582.6363892345645
41-50,0.4529296875,0.431640625,0.482421875,34,3.4,7,0,36,0.009375,1777.2587890625,6.0484375,425.2388677702285,288.6198430079967,551.8019802009957
51-60,0.45703125,0.435546875,0.513671875,59,5.9,12,2,60,0.0125,1746.70859375,6.361328125,426.5529566667043,287.18598802937197,548.6316232642844
61-70,0.4529296875,0.41796875,0.484375,57,5.7,11,3,59,0.020703125,1954.465234375,6.503125,427.457099920325,280.3832756822929,582.8182249048158
71-80,0.434765625,0.388671875,0.51171875,81,8.1,19,1,81,0.02890625,1801.6310546875,6.60390625,586.7082591249607,442.23370774649084,508.697176585565
81-90,0.448828125,0.404296875,0.48828125,326,32.6,52,0,324,0.045703125,1978.86015625,7.2890625,498.0822126469575,352.4114686836489,494.95108514548576
91-100,0.4322265625,0.361328125,0.486328125,780,78.0,101,4,730,0.069921875,2583.22109375,8.651171875,603.3198347790167,444.23588365986944,473.9183009891991
